... is required,expression,... ist erforderlich,
access control,,Zugriffskontrolle,
account,noun,Benutzerkonto,
action,noun,Aktion,
activated,adjective,aktiviert,
active,adjective,aktiv,
add,verb,hinzufügen,
administer,verb,verwalten,
administration,noun,Administration,
administration pages,noun,Administrationsbereich,
administration theme,noun,Administrations-Theme,
administrator,noun,Administrator,
aggregation,noun,Zusammenfassung,
Aggregator,noun,Aggregator,
aggregator,noun,Aggregator,
anonymous,noun,Gast,
API,noun,API,
api,noun,API,
approved,adjective,freigegeben,
archive,noun,Archiv,
argument,noun,Parameter,
article,noun,Artikel,
attachment,noun,Anhang,
authorized individual,expression,berechtigte Person,
Base theme,noun,Basis-Theme,
Basic page,noun,Seite,
Big Pipe,noun,Big Pipe,"Das Modul ""Big Pipe"""
block,noun,Block,
blog,noun,Blog,
body,noun,Textkörper,
book outline,noun,Inhaltsverzeichnis,
Book page,noun,Buchseite,
breadcrumb,noun,Pfadnavigation,
breakpoint,noun,Breakpoint,
breakpoint,noun,Breakpoint,
browse,verb,durchsuchen,
browser,noun,Browser,
browser,noun,Browser,
bundle,noun,Subtyp,
button,noun,Button,"#d7 Schaltfläche, Mittlerweile im deutschen Gebräuchlich (siehe Duden)"
cache,noun,Cache,
cache,verb,zwischenspeichern,
cache,noun,Cache,
Cache tag,noun,Cache-Tag,
capture,verb,aufzeichnen,
categorize,verb,kategorisieren,
category,noun,Kategorie,
chapter,noun,Kapitel,
check,verb,auswerten; sicherstellen; anhaken,
check,verb ,überprüfen,
checkbox,noun,Checkbox,
child,noun,untergeordnetes Element,
child,adjective,untergeordnet,
child page,noun,untergeordnete Seite,
clean URLs,noun,lesbare URLs,
CMS,noun,CMS,
collaborative,adjective,gemeinschaftlich,
Computed date,,Errechnetes Datum,
configuration,noun,Konfiguration,
configuration management,noun,Konfigurationsverwaltung,
content,noun,Inhalt,
content types,noun,Inhaltstypen,
context,noun,Kontext,
contextual filter,noun,Kontextfilter,
contextual links,noun,Kontextlinks,
contributed module,noun,Zusatz-Modul?,
core,noun,Core,
core,noun,Core,
create,verb,erstellen,
created,verb,erstellt,
cron,noun,Cron,
custom,adjective,benutzerdefiniert,benutzerdefiniertes Feld
customization,noun,Anpassung,
date,noun,Datum,Mehrzahl: Termine
dates,noun,Termine,
debugging,noun,Fehlersuche,#d7 Auffinden von Fehlern
default,noun,Standard-,
default,adjektiv,standard,
delete,verb,löschen,
deleted,verb,gelöscht,
deprecated,,überholt,
display mode,noun,Darstellungsform,"#d7 Ansicht, geändert wegen Verwechslungsgefahr mit Views/Ansicht Modul"
display settings,noun,Anzeigeeinstellungen,
displayed,verb,angezeigt,
domain,noun,Domain,Domain für www.example.com
drag & drop handles,,,
drag and drop,,Drag & Drop,"#d7 Drag-and-Drop, let's do it like Wordpress :)"
Drupal core,noun,Drupal Core,
e-mail,noun,E-Mail,
e.g.,expression,z. B.,
edit,verb,bearbeiten,
enable,,aktivieren,
entity,noun,Entität,
Entity Reference,noun,Entitätsreferenz,
entity reference,noun,Entitätsreferenz,
Entity Type,noun,Entitätstyp,
entity type,noun,Entitätstyp,
event,noun,Event,"#d7 Ereignis, Mittlerweile im deutschen gebräuchlich"
example.com/.net/.org,,example.com/.net/.org,"As described in RFC 2606, a number of domains such as EXAMPLE.COM and EXAMPLE.ORG are reserved for documentation purposes. These domains may be used as illustrative examples in documents without prior coordination with IANA. They are not available for registration."
expanded view,expression,vollständige Ansicht,
expose,verb,anzeigen,
expose,verb,anbieten,
feature,noun,Funktion,Feature Modul ist ein Eigenname und wird nicht übersetzt
feed,noun,Feed,
field,noun,Feld,
field display,,Felddarstellung,
fieldgroup,noun,Feldgruppe,
filter,noun,Filter,
filter,verb,filtern,
flag,noun,Flag,
form,noun,Formular,
form mode,noun,Formulardarstellung,
formatter,,,
forum,noun,Forum,
forums,noun,Foren,
fully-qualified,adjective,vollständig,
guide,noun,Handbuch,
handbook,noun,Handbuch,
handbook page,noun,Handbuchseite,
Handler,noun,"Behandlungsroutine, Routine",
handler,noun,Routine,
header,noun,Header,
help text,noun,Hilfetext,
home,noun,Startseite,
HTML tag,noun,HTML-Element,
hyperlink,noun,Hyperlink,
icon,noun,Icon,
image,,Bild,
image styles,,Bildstile,
information,plural,Informationen,
input filter,noun,Eingabefilter,
input format,noun,Eingabeformat,
Installer,noun,Installer,der Installer laut Duden
interface,noun,Benutzeroberfläche,
interval,noun,Intervall,
issue,,,"kontextabhängig, kein Standard definiert, not an issue -> kein Problem, open an issue -> ein Ticket aufmachen"
item,noun,Element,
label,noun,Beschriftung,
label,,Beschriftung,
last,adjective,letzte,#d7 neueste
latest,adjective,neueste,
legacy,noun,Rückwärtskompatibilität,
library,noun,Bibliothek,
link,noun,Link,
link,verb,verlinken,
location,noun,Ort,
log,noun,Protokoll,
log in,verb,anmelden,
log message,noun,Protokollnachricht,
log out,verb,abmelden,
machine name,noun,Systemname,
media query,noun,Media Query,
menu,noun,Menü,
menu item,noun,Menüpunkt,
message,noun,Nachricht,
message type,noun,Nachrichtentyp,
migrate,verb,migrieren,
moderate,verb,moderieren,
moderator,noun,Moderator,
module,noun,Modul,
move,verb,verschieben,
never,adjective,nie,
news feed,noun,Newsfeed,
next,adjective,nächstes,
node type,noun,Inhaltstyp,
node/Node,noun,Node/Beitrag,tech. Node (z.B. .. in der „Node“-Tabelle); in der UI für den Benutzer: Beitrag
notice,noun,"Mitteilung, Hinweis",
on a regular basis,adjective,regelmäßig,
operations,noun,Manipulationen,
options,noun,Optionen,
organize,verb,gliedern,
orphan,adjective,verwaist,
outline,noun,Gliederung,
override,verb,übersteuern,könnte auch überschreiben gemeint sein (es kommt auf den Kontext an)
overview,noun,Übersicht,
page,noun,Seite,
pager,noun,Paginierung,
parent,adjective,übergeordnet,
path,noun,Pfad,
performance,noun,Performance,
permission,noun,Berechtigung,
Plugin,,Plug-in,
poll,noun,Umfrage,
post,noun,Beitrag,
post,verb,speichern,
previous,adjective,vorheriges,
production site,noun,Live Website,
promote to front page,expression,Auf der Startseite anzeigen,
public,adjective,öffentlich,
publication,noun,Veröffentlichung,
publish,verb,veröffentlichen,
queue,noun,Warteschlange,
radio button,noun,Optionsfeld,
RDF feed,noun,RDF-Feed,
reference field,noun,Referenzfeld,
region,noun,Region,
register,verb,registrieren,
render,adjective,rendern,
replacement patterns,noun,Ersetzungsmuster,
reply,noun,Antwort,
reply,verb,antworten,
reset,verb,zurücksetzen,
responsive design,noun,Responsive Design,
result,noun,Ergebnis,
revision,noun,Revision,
role,noun,Rolle,
row,noun,Zeile,
row,noun,Zeile,
RSS feed,noun,RSS-Feed,
schema,noun,Schema,
search output,noun,Suchergebnis,
section,noun,"Abschnitt, Bereich",
selector,noun,Selektor,
session,noun,Sitzung,
setting,noun,Einstellung,
severity,noun,Schweregrad,
site,noun,Website,
source language,,Ausgangssprache,
sprint,noun,Sprint,
state,noun,Status,http://www.duden.de/rechtschreibung/Status
states,noun,Status,http://www.duden.de/rechtschreibung/Status
story,noun,Artikel,
string,noun,Zeichenkette,
submit,verb,speichern,
syndicate,verb,abgleichen,
system,noun,System-,
system event,noun,Systemereignis,
tab,noun,Reiter,
tag,noun,Tag,
taxonomy,noun,Taxonomie,
teaser,noun,Anrisstext,
term,noun,Begriff,
text editor,noun,Texteditor,
themable,adjective,"anpassbar, Design anpassbar",
theme,noun,Theme,
theme,noun,Theme,
threaded view,noun,Baumansicht,#d7 Themenansicht
threshold,noun,Grenzwert,
throttle,noun,Lastreduzierung,
thumbnail,noun,Miniaturbild,
title,noun,Titel,
toolbar,noun,Werkzeugleiste,
toolkit,noun,Toolkit,
topic,noun,Thema,
trackback,noun,Trackback,
trigger,noun,Trigger,
UI,noun,Benutzeroberfläche,
unpublish,verb,Veröffentlichung zurücknehmen,
unpublished,adjective,unveröffentlicht,
update,verb,aktualisieren,
upgrade,noun,Upgrade,
Upload,noun,Upload,http://www.duden.de/suchen/dudenonline/Upload
URL,noun,URL,
user,noun,Benutzer,
user profile,noun,Benutzerprofil,
userinterface,noun,Benutzeroberfläche,
validation,noun,Validierung,
view,noun,Ansicht,
view,verb,"anzeigen, betrachten",
view mode,noun,Inhaltsdarstellung,
viewports,noun,Viewports,
visitor,noun,Besucher,
vital,adjective,unerlässlich,
waiting,adjective,wartend,
warning,noun,Warnung,
watchdog,noun,Watchdog,"#d7 Wächter, Wachhund"
web service,noun,Webservice,
website,,Website,
weight,noun,Reihenfolge,Die Reihenfolge von Elementen zb. Menüeinträge
who's online,expression,Momentan online,
widget,noun,"Widget, Steuerelement","Widget, wenn damit eine Anwendung[1] gemeint ist, Steuerelement - ein einzelnes Formularelement"
wishlist,noun,Wunschliste,
workflow,noun,Arbeitsablauf,
identifier,,Id,Kennung oder ID
image formatter,,,
visit,,Zugriff,"""ban visits from specific IP addresses"" - ""Zugriffe von bestimmten IP-Adressen sperren"""
constraint,,,
array,,Array,
permalink,,Permalink,
thread,,Thread,
Token,,,
locale,noun,Lokalisierung,
content entity,,Inhaltsentität,
configuration entity,,Konfigurationsentität,